epoch,metric,series,value
76,accuracy,train,0.7314104260386346
76,accuracy,val_clean,0.8303571428571429
76,loss,train,1.2484994846602917
76,learning_rate,lr,1.092619963309721e-05
77,accuracy,train,0.7087853929611008
77,accuracy,val_clean,0.8306760204081632
77,loss,train,1.3020318445625618
77,learning_rate,lr,7.001981464747508e-06
78,accuracy,train,0.7311458057687219
78,accuracy,val_clean,0.829719387755102
78,loss,train,1.231657334801759
78,learning_rate,lr,3.9426493427611165e-06
79,accuracy,train,0.7191055834876952
79,accuracy,val_clean,0.8290816326530612
79,loss,train,1.265048150664191
79,learning_rate,lr,1.7535703752478143e-06
80,accuracy,train,0.7273088118549881
80,accuracy,val_clean,0.829719387755102
80,loss,train,1.237488264253954
80,learning_rate,lr,4.385849505708082e-07
